name,rating,fields,employee_counts,company_types,ages,locations
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai +291 more
Accenture,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin +145 more
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey. +118 more
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru +251 more
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1212 more
HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai +1440 more
Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore +142 more
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris +94 more
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune +239 more
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida +158 more
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York +84 more
Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai +1238 more
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont +93 more
Amazon,4.2,Internet,1 Lakh+ Employees,Public,29 years old,Seattle +404 more
Reliance Jio,3.9,Telecom,50k-1 Lakh Employees,Public,16 years old,Navi Mumbai +1101 more
IBM,4.1,Software Product,50k-1 Lakh Employees,Public,112 years old,Armonk +135 more
Larsen & Toubro Limited,4.0,Engineering & Construction,1 Lakh+ Employees,Public,85 years old,Mumbai +591 more
Reliance Retail,3.9,Retail,1 Lakh+ Employees,17 years old,Navi Mumbai +919 more,
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,16 years old,Ahmedabad +902 more,
Teleperformance,3.6,BPO,10k-50k Employees,Forbes Global 2000,45 years old,Paris +134 more
Vodafone Idea,4.2,10k-50k Employees,Public,5 years old,Mumbai +612 more,
Deloitte,4.0,Accounting & Auditing,1 Lakh+ Employees,178 years old,London +147 more,
BYJU'S,3.1,EdTech,1k-5k Employees,Indian Unicorn,12 years old,Bangalore +291 more
Kotak Mahindra Bank,3.8,Banking,10k-50k Employees,Public,20 years old,Mumbai +518 more
Reliance Industries,4.0,Oil & Gas,Public,46 years old,Navi Mumbai +596 more,
Bharti Airtel,4.0,Telecom,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram +608 more
Tata Motors,4.2,Automobile,10k-50k Employees,Public,78 years old,Pune +423 more
Flipkart,4.1,Internet,10k-50k Employees,Public,16 years old,Bangalore +503 more
WNS,3.6,BPO,10k-50k Employees,27 years old,Mumbai +30 more,
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram +635 more
iEnergizer,4.5,BPO,10k-50k Employees,23 years old,Noida +24 more,
Mahindra & Mahindra,4.1,Automobile,1 Lakh+ Employees,Public,78 years old,Mumbai +454 more
Ernst & Young,3.6,Accounting & Auditing,50k-1 Lakh Employees,21 years old,London +88 more,
Infosys BPM,3.9,Analytics & KPO,10k-50k Employees,21 years old,Bangalore/Bengaluru +56 more,
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,6 years old,Minato +60 more
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,5 years old,Mumbai +512 more
Conneqt Business Solutions,3.7,IT Services & Consulting,10k-50k Employees,21 years old,Mumbai +189 more,
LTIMindtree,3.7,IT Services & Consulting,50k-1 Lakh Employees,Public,24 years old,Bangalore/Bengaluru +41 more
Bajaj Finserv,4.0,Insurance,10k-50k Employees,Public,16 years old,Pune +797 more
Hinduja Global Solutions,3.9,Software Product,10k-50k Employees,Public,23 years old,Bangalore/Bengaluru +86 more
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,21 years old,Pune +55 more
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,25 years old,Bangalore/Bengaluru +41 more
Startek,3.2,BPO,10k-50k Employees,Public,6 years old,Mumbai +62 more
PwC,3.6,Accounting & Auditing,10k-50k Employees,Conglomerate,143 years old,London +78 more
Ericsson,4.3,10k-50k Employees,Forbes Global 2000,147 years old,Stockholm +141 more,
HDFC Life,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai +493 more
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,42 years old,New Delhi +341 more
Yes Bank,3.9,Banking,10k-50k Employees,Public,19 years old,Mumbai +414 more
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,81 years old,Mumbai +383 more
Dr. Reddy's,4.2,10k-50k Employees,Public,39 years old,Hyderabad/Secunderabad +152 more,
Cipla Pharmaceutical,4.1,Pharma,10k-50k Employees,Public,88 years old,Mumbai +211 more
Sutherland Global Services,3.8,IT Services & Consulting,10k-50k Employees,37 years old,Pittsford +47 more,
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,35 years old,Chiyoda City +45 more,
EXL Service,3.8,Analytics & KPO,10k-50k Employees,24 years old,New York City +39 more,
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai +429 more
Jana Small Finance Bank,3.8,Banking,10k-50k Employees,Public,17 years old,Bangalore/Bengaluru +330 more
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,40 years old,Mumbai +400 more
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,22 years old,Kolkata +678 more
HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,47 years old,Chennai +67 more,
Paytm,3.5,FinTech,10k-50k Employees,Public,13 years old,Noida +276 more
Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai +151 more
Udaan,4.0,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore +329 more
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi +302 more
Bajaj Finance,4.0,NBFC,10k-50k Employees,36 years old,Pune +705 more,
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai +74 more
Zydus Lifesciences,4.1,Pharma,10k-50k Employees,Public,71 years old,Ahmedabad +138 more
ITC,3.9,FMCG,10k-50k Employees,Public,48 years old,Kolkata +278 more
AU Small Finance Bank,4.1,Banking,10k-50k Employees,Fortune India 500,27 years old,Jaipur +345 more
Wells Fargo,4.1,Banking,10k-50k Employees,Public,171 years old,San Francisco +19 more
JP Morgan Chase,4.2,Financial Services,10k-50k Employees,Forbes Global 2000,23 years old,New York +32 more
Delhivery,4.0,10k-50k Employees,Fortune India 500,12 years old,Delhi +565 more,
FIS,3.9,FinTech,10k-50k Employees,55 years old,Jacksonville +36 more,
Hindustan Unilever,4.2,FMCG,10k-50k Employees,Public,151 years old,London +401 more
IIFL Finance,3.8,Financial Services,10k-50k Employees,Public,28 years old,Mumbai +603 more
Amazon Development Centre India,4.2,Internet,10k-50k Employees,Hyderabad/Secunderabad +55 more,,
Quess,3.9,Recruitment,1 Lakh+ Employees,Public,16 years old,Bangalore +458 more
TATA Steel,4.1,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai +143 more
KPMG India,3.6,Management Consulting,10k-50k Employees,36 years old,Bengaluru/Bangalore +70 more,
Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,33 years old,Mumbai +38 more
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,40 years old,Mumbai +179 more
Home Credit Finance,4.2,Financial Services,5k-10k Employees,11 years old,Gurugram +108 more,
JSW Steel,3.9,Iron & Steel,10k-50k Employees,Public,41 years old,Mumbai +119 more
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,6 years old,Bangalore/Bengaluru +408 more
Shapoorji Pallonji Group,4.2,Engineering & Construction,5k-10k Employees,Conglomerate,158 years old,Mumbai +150 more
OPPO,3.9,Consumer Electronics & Appliances,10k-50k Employees,Public,19 years old,Dongguan +352 more
Max Life Insurance,4.1,Insurance,10k-50k Employees,23 years old,Gurgaon/Gurugram +358 more,
Oracle,3.9,Software Product,50k-1 Lakh Employees,Public,46 years old,Austin +38 more
Aurobindo Pharma,4.0,Pharma,10k-50k Employees,Public,37 years old,Hyderabad/Secunderabad +71 more
Muthoot Finance,3.5,NBFC,10k-50k Employees,Public,84 years old,Kochi/Cochin +571 more
Shriram Transport Finance,4.1,NBFC,10k-50k Employees,Public,44 years old,Mumbai +748 more
Ashok Leyland,4.1,Automobile,10k-50k Employees,Public,75 years old,Chennai +197 more
eClerx,3.5,IT Services & Consulting,10k-50k Employees,Public,23 years old,Mumbai +17 more
Apollo Hospitals,4.1,Healthcare,10k-50k Employees,Public,40 years old,Chennai +171 more
Siemens,4.2,Power,5k-10k Employees,Public,176 years old,Munich +118 more
Capgemini Technology Services India Limited,4.0,IT Services & Consulting,1 Lakh+ Employees,Bengaluru/Bangalore +33 more,,
Tata Projects,4.2,Engineering & Construction,5k-10k Employees,Public,44 years old,Mumbai +222 more
Vivo,4.0,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,14 years old,Gurgaon/Gurugram +353 more
JLL,4.2,Real Estate,5k-10k Employees,Forbes Global 2000,26 years old,Mumbai +67 more
First Source,3.8,BPO,10k-50k Employees,Public,22 years old,Mumbai +49 more
JustDial,3.6,Internet,10k-50k Employees,Public,27 years old,Mumbai +158 more
Hero MotoCorp,4.1,Automobile,5k-10k Employees,Public,39 years old,Gurgaon/Gurugram +293 more
L&T Construction,4.0,Engineering & Construction,10k-50k Employees,Public,79 years old,Chennai +308 more
Hewlett-Packard Enterprise,4.3,Emerging Technologies,10k-50k Employees,Forbes Global 2000,8 years old,Houston +91 more
Omega Healthcare,3.7,IT Services & Consulting,5k-10k Employees,19 years old,Florida +32 more,
Mahindra & Mahindra Financial Services,4.3,NBFC,10k-50k Employees,Public,32 years old,Mumbai +610 more
Megha Engineering & Infrastructures,4.1,Engineering & Construction,5k-10k Employees,Conglomerate,34 years old,Hyderabad/Secunderabad +262 more
Cyient,3.7,IT Services & Consulting,10k-50k Employees,Public,32 years old,Hyderabad/Secunderabad +29 more
Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,22 years old,Pune +469 more,
D Mart,3.9,Retail,10k-50k Employees,Fortune India 500,23 years old,Mumbai +197 more
Hyundai Motor,4.3,Automobile,10k-50k Employees,Fortune India 500,56 years old,Seoul +250 more
TVS Motor,4.0,Automobile,5k-10k Employees,Public,44 years old,Chennai +257 more
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,12 years old,Bangalore +104 more
Reliance Communications,3.9,Telecom,201-500 Employees,Public,21 years old,Navi Mumbai +406 more
Indiamart Intermesh,3.6,Internet,10k-50k Employees,27 years old,Noida +126 more,
Atos Syntel,3.6,IT Services & Consulting,5k-10k Employees,43 years old,Troy +17 more,
Bosch,4.3,Auto Components,10k-50k Employees,Public,137 years old,Gerlingen +92 more
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon +109 more
Manappuram Finance,3.9,NBFC,10k-50k Employees,Public,74 years old,Thrissur/Trichur +449 more
Bosch Global Software Technologies,4.2,Software Product,10k-50k Employees,33 years old,Gerlingen +24 more,
SBI Cards & Payment Services,3.7,1k-5k Employees,25 years old,Gurgaon/Gurugram +302 more,,
Cummins,4.3,Auto Components,5k-10k Employees,Fortune India 500,61 years old,Columbus +94 more
BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,19 years old,New York City +14 more
Coforge,3.6,IT Services & Consulting,10k-50k Employees,Public,19 years old,Noida +80 more
Nagarro,4.3,IT Services & Consulting,10k-50k Employees,27 years old,Munich +33 more,
IQVIA,4.1,Clinical Research,10k-50k Employees,Forbes Global 2000,41 years old,Durham +38 more
Virtusa Consulting Services,3.8,IT Services & Consulting,10k-50k Employees,27 years old,Southborough +28 more,
SMFG India Credit,4.1,NBFC,10k-50k Employees,16 years old,Mumbai +461 more,
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,10 years old,Mumbai +197 more
GlobalLogic,3.8,IT Services & Consulting,10k-50k Employees,23 years old,San Jose +26 more,
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai +234 more
Intelenet Global Services,3.7,BPO,10k-50k Employees,23 years old,Mumbai +57 more,
Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,41 years old,Chesterfield +14 more
UST,3.9,IT Services & Consulting,10k-50k Employees,22 years old,Aliso Viejo +33 more,
Schneider Electric,4.1,Industrial Automation,10k-50k Employees,Forbes Global 2000,24 years old,Paris +97 more
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,117 years old,Los Angeles +64 more
Samsung,4.1,5k-10k Employees,Public,85 years old,Seoul +396 more,
Dell,4.1,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,39 years old,Round Rock +86 more
JBM Group,4.0,Auto Components,1k-5k Employees,Public,40 years old,Gurgaon/Gurugram +79 more
State Bank of India,3.8,Banking,1 Lakh+ Employees,Fortune India 500,217 years old,Mumbai +437 more
Ecom Express,4.0,Logistics,10k-50k Employees,11 years old,Gurgaon +577 more,
Cholamandalam Investment & Finance,4.1,NBFC,5k-10k Employees,Fortune India 500,45 years old,Chennai +569 more
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,9 years old,Bangalore +160 more
L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,11 years old,Vadodara/Baroda +36 more
Bajaj Auto,3.8,Automobile,5k-10k Employees,Public,78 years old,Pune +222 more
Ekart Logistics,4.1,Logistics,5k-10k Employees,14 years old,San Francisco +507 more,
Equitas Small Finance Bank,4.1,Banking,10k-50k Employees,Fortune India 500,16 years old,Chennai +322 more
SBI Life Insurance Company,3.8,Insurance,10k-50k Employees,22 years old,Mumbai +489 more,
Nagarjuna Construction Company,4.1,Engineering & Construction,5k-10k Employees,Public,25 years old,Hyderabad/Secunderabad +200 more
Optum,4.0,Healthcare,10k-50k Employees,46 years old,Prairie +25 more,
KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,78 years old,Mumbai +246 more
Viatris,4.3,Pharma,10k-50k Employees,Forbes Global 2000,62 years old,Canonsburg +65 more
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,37 years old,Noida +69 more
Aditya Birla Fashion and Retail,4.2,Retail,10k-50k Employees,Fortune India 500,8 years old,Mumbai +214 more
Muthoot Fincorp,4.0,NBFC,10k-50k Employees,Conglomerate,136 years old,Trivandrum/Thiruvananthapuram +509 more
Godrej & Boyce Manufacturing,3.9,Engineering & Construction,10k-50k Employees,Fortune India 500,126 years old,Mumbai +125 more
Royal Enfield,4.2,Automobile,10k-50k Employees,122 years old,Gurgaon/Gurugram +277 more,
Piramal Capital Housing Finance,4.3,NBFC,1k-5k Employees,3 years old,Mumbai +301 more,
Tata Communications,4.1,Telecom,5k-10k Employees,Public,37 years old,Mumbai +83 more
L&T Finance,4.0,NBFC,10k-50k Employees,Public,29 years old,Mumbai +442 more
John Deere,4.3,IT Services & Consulting,5k-10k Employees,Fortune India 500,22 years old,Moline +109 more
